Source Species	Source Tissue	Mapped to	Total OCRs	Ortholog Open	Ortholog Closed	% Shared
Human	Liver	Mouse	130828	4633	126195	3.5%
Human	Adrenal	Mouse	154450	7795	146655	5.0%
