Source Species	Source Tissue	Mapped to	Total OCRs	Ortholog Open	Ortholog Closed	% Shared
Mouse	Liver	Human	135757	4667	131090	3.4%
Mouse	Adrenal	Human	48102	727	47375	1.5%
